"Account Type","Account Number","Transaction Date","Cheque Number","Description 1","Description 2","CAD$","USD$"
Visa,4512********6561,1/3/2026,,"ROGERS ******8709 888-764-3771 ON",,-63.17,,
Visa,4512********6561,1/3/2026,,"FORTINOS (APPLEBY & DU BURLINGTON ON",,-140.96,,
Visa,4512********6561,1/3/2026,,"PETSMART INC. 2028 BURLINGTON ON",,-68.11,,
Visa,4512********6561,1/3/2026,,"AMZN Mktp CA*641JA4SZ3 866-216-1072 ON",,-125.43,,
Visa,4512********6561,1/3/2026,,"AMZN Mktp CA*P36L97GP3 866-216-1072 ON",,-18.89,,
Visa,4512********6561,1/4/2026,,"AMZN Mktp CA*EX66W6X63 866-216-1072 ON",,-12.92,,
Visa,4512********6561,1/4/2026,,"Amazon.ca*YF7ZA3AT3 866-216-1072 ON",,-15.83,,
Visa,4512********6561,1/4/2026,,"BLACKS PHOTO MONTREAL QC",,-44.65,,
Visa,4512********6561,1/4/2026,,"JACADI SA PARIS",,-207.10,,
Visa,4512********6561,1/5/2026,,"ROCK THIS WAY 905-331-9800 ON",,-152.00,,
Visa,4512********6561,1/5/2026,,"AMZN Mktp CA*WC9B65NC3 866-216-1072 ON",,-67.68,,
Visa,4512********6561,1/5/2026,,"STARSKY FINE FOODS HAM HAMILTON ON",,-125.36,,
Visa,4512********6561,1/5/2026,,"TIM HORTONS #4326 BURLINGTON ON",,-5.19,,
Visa,4512********6561,1/6/2026,,"PUBLIC MOBILE SELF-SER EDMONTON AB",,-39.55,,
Visa,4512********6561,1/6/2026,,"AMZN Mktp CA*CA1399MV3 866-216-1072 ON",,-7.67,,
Visa,4512********6561,1/6/2026,,"AUTOMATIC PAYMENT -THANK YOU",,3408.74,,
Visa,4512********6561,1/6/2026,,"Amazon.ca*KZ0RC8KE3 866-216-1072 ON",,-21.46,,
Visa,4512********6561,1/7/2026,,"PUBLIC MOBILE SELF-SER EDMONTON AB",,-38.42,,
Visa,4512********6561,1/7/2026,,"BLACKS PHOTO MONTREAL QC",,-28.24,,
Visa,4512********6561,1/7/2026,,"Amazon.ca*IU3YF1WX3 866-216-1072 ON",,-64.10,,
Visa,4512********6561,1/8/2026,,"MIXBOOK.COM MIXBOOK.COM CA",,-67.98,,
Visa,4512********6561,1/8/2026,,"AMZN Mktp CA*1D5VG7O33 866-216-1072 ON",,-40.67,,
Visa,4512********6561,1/9/2026,,"Amazon.ca 866-216-1072 ON",,64.10,,
Visa,4512********6561,1/9/2026,,"AMZN Mktp CA*OV1BK0XS3 866-216-1072 ON",,-61.01,,
Visa,4512********6561,1/10/2026,,"BURGER FACTORY 023 - B Burlington ON",,-2.81,,
Visa,4512********6561,1/10/2026,,"AMZN Mktp CA*776RE9J73 866-216-1072 ON",,-13.24,,
Visa,4512********6561,1/10/2026,,"CONSERVATION HALTON 905-336-1158 ON",,-20.06,,
Visa,4512********6561,1/10/2026,,"PP*9407CODE 4029357733 ON",,-2.45,,
Visa,4512********6561,1/12/2026,,"WAT AH JERK CARRIBEAN GRITORONTO ON",,-16.95,,
Visa,4512********6561,1/12/2026,,"PUBLIC MOBILE SELF-SER EDMONTON AB",,39.55,,
Visa,4512********6561,1/12/2026,,"Amazon.ca*EX2EQ4O33 866-216-1072 ON",,-25.20,,
Visa,4512********6561,1/12/2026,,"AMZN Mktp CA*QT2J50C23 866-216-1072 ON",,-22.95,,
Visa,4512********6561,1/12/2026,,"GAP.COM 800-427-7895 ON",,-52.51,,
Visa,4512********6561,1/13/2026,,"AMZN Mktp CA*9U6NY9683 866-216-1072 ON",,-31.63,,
Visa,4512********6561,1/13/2026,,"AMZN Mktp CA*4K5541SN3 866-216-1072 ON",,-31.35,,
Visa,4512********6561,1/13/2026,,"AMZN Mktp CA*EG3B93YG3 866-216-1072 ON",,-11.29,,
Visa,4512********6561,1/13/2026,,"METRO 84 BURLINGTON ON",,-132.63,,
Visa,4512********6561,1/14/2026,,"AMZN Mktp CA*JA9K42I03 866-216-1072 ON",,-45.19,,
Visa,4512********6561,1/14/2026,,"AMZN Mktp CA*930O548W3 866-216-1072 ON",,-15.02,,
Visa,4512********6561,1/15/2026,,"AMZN Mktp CA*ER1DS6QD3 866-216-1072 ON",,-13.24,,
Visa,4512********6561,1/16/2026,,"SP YOTO PARTNERS CA YOTO-CANADA.MCA",,-48.57,,
Visa,4512********6561,1/16/2026,,"Amazon.ca 866-216-1072 ON",,15.83,,
Visa,4512********6561,12/17/2025,,"AMZN Mktp CA*AS9HI6M33 866-216-1072 ON",,-77.48,,
Visa,4512********6561,12/17/2025,,"Amazon.ca*HH5VL4P93 866-216-1072 ON",,-16.90,,
Visa,4512********6561,12/17/2025,,"Amazon.ca*9J2NO4UV3 866-216-1072 ON",,-82.49,,
Visa,4512********6561,12/17/2025,,"AMZN Mktp CA*BZ8PQ3CM3 866-216-1072 ON",,-15.82,,
Visa,4512********6561,12/17/2025,,"AMZN Mktp CA*D38CS58M3 866-216-1072 ON",,-29.32,,
Visa,4512********6561,12/18/2025,,"AMZN Mktp CA*JE7816O73 866-216-1072 ON",,-25.98,,
Visa,4512********6561,12/18/2025,,"Amazon.ca*DG4UZ73R3 866-216-1072 ON",,-28.25,,
Visa,4512********6561,12/20/2025,,"AMZN Mktp CA*SO1JF0AS3 866-216-1072 ON",,-90.38,,
Visa,4512********6561,12/21/2025,,"CARYL BAKER VISAGE BURLINGTON ON",,-162.44,,
Visa,4512********6561,12/21/2025,,"RFBT-MAPLEVIEW CENTRE BURLINGTON ON",,-18.37,,
Visa,4512********6561,12/22/2025,,"ECS COFFEE INC BURLINGTONBURLINGTON ON",,-33.99,,
Visa,4512********6561,12/23/2025,,"T&T SUPERMARKET #015 MISSISSAUGA ON",,-188.08,,
Visa,4512********6561,12/23/2025,,"FORTINOS (APPLEBY & DU BURLINGTON ON",,-123.31,,
Visa,4512********6561,12/25/2025,,"SQ *TASHA TI CAKES NORTH YORK ON",,-6.00,,
Visa,4512********6561,12/25/2025,,"SQ *TASHA TI CAKES NORTH YORK ON",,-4.00,,
Visa,4512********6561,12/26/2025,,"BUYTIX.CA 416-721-4260 ON",,-110.00,,
Visa,4512********6561,12/26/2025,,"BURLINGTON NAIL BAR BURLINGTON ON",,-89.75,,
Visa,4512********6561,12/27/2025,,"WAL-MART ONLINE PHOTO MISSISSAUGA ON",,-85.81,,
Visa,4512********6561,12/28/2025,,"PETRO-CANADA 00122 BURLINGTON ON",,-78.44,,
Visa,4512********6561,12/28/2025,,"OXIO.CA MONTREAL QC",,-50.85,,
Visa,4512********6561,12/28/2025,,"Amazon.ca*MH6T151N3 866-216-1072 ON",,-37.56,,
Visa,4512********6561,12/28/2025,,"WAL-MART SUPERCENTER#3200OAKVILLE ON",,-47.02,,
Visa,4512********6561,12/30/2025,,"OOMA CANADA INC 650-269-3061 BC",,-6.34,,
Visa,4512********6561,12/30/2025,,"Amazon.ca*BH8GB1KL1 866-216-1072 ON",,-14.66,,
Visa,4512********6561,12/30/2025,,"AMZN Mktp CA*3D2QX4CS3 866-216-1072 ON",,-49.95,,
Visa,4512********6561,12/30/2025,,"AMZN Mktp CA*U94P36FZ3 866-216-1072 ON",,-18.07,,
Visa,4512********6561,12/31/2025,,"AMZN Mktp CA*BH82T1IQ2 866-216-1072 ON",,-30.59,,
Visa,4512********6561,12/31/2025,,"Amazon.ca*SH5S72A13 866-216-1072 ON",,-16.79,,
Visa,4512********6561,12/31/2025,,"PrimeVideo.c*CQ6T29603 www.amazon.caBC",,-5.64,,
